title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
Annette,Annette,15500000,"Drama, Romance",fr,"English, French",https://www.amazon.com/dp/B093KHDSHR,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",15.158,140,3700000,2021-07-07,6.772,656,"Belgium, France, Germany, Greece, Japan, Mexico, Switzerland"
Resort to Love,Resort to Love,0,"Romance, Comedy",en,English,https://www.netflix.com/title/81076586,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,14.586,101,0,2021-07-29,7.208,396,United States of America
"Woodstock 99: Peace, Love, and Rage","Woodstock 99: Peace, Love, and Rage",0,"Documentary, Music",en,English,https://www.hbo.com/movies/woodstock-99-peace-love-rage,"Explore Woodstock 99, a three-day music festival promoted to echo unity and counterculture idealism of the original 1969 concert but instead devolved into riots, looting and sexual assaults.",6.905,110,0,2021-07-23,6.553,75,United States of America
"Casanova, Last Love",Dernier amour,0,"Drama, Romance",fr,"English, French, German, Italian",https://lesfilmsdufleuve.be/en/movies/dernier-amour,"Year 1763. Forced into exile, the famous libertine Giacomo Casanova leaves Paris and travels to London, where he meets Marianne de Charpillon, a young prostitute to whom he is so attracted that he forgets about the other women.",13.997,99,0,2019-03-20,4.7,34,"Belgium, France, United States of America"
Running Against the Wind,Running Against The Wind,0,Drama,am,Amharic,,"The film follows the fate of two boys, one of whom hopes to become an Olympic runner and the other a photographer.",2.405,112,0,2023-07-20,6.5,1,"Ethiopia, Germany"
Crazy Rich Asians,Crazy Rich Asians,30000000,"Comedy, Romance",en,"Cantonese, Mandarin, English",http://crazyrichasiansmovie.com,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",58.53,121,238539198,2018-08-15,7.066,3532,United States of America
Undine,Undine,0,"Fantasy, Drama, Romance",de,"English, German, Spanish",https://www.the-match-factory.com/catalogue/films/undine.html,"Undine is a historian and tour guide at the Berlin City Museum specializing in urban development, while Christoph is an industrial diver. Linked by a love of the water, the two form an intense bond, which can only do so much to help Undine overcome the considerable baggage of her former affair.",20.509,90,0,2020-07-01,6.5,223,"France, Germany"
This Town,This Town,0,Comedy,en,English,https://www.flicks.co.nz/movie/this-town-2020/,"Five years after being acquitted for the murder of his family, Sean (White) is finally ready to move on with life. But the bitter ex-cop (Malcolm) who led the investigation remains adamant that he's guilty - and will stop at nothing to bring him down.",2.478,91,0,2020-04-30,5.8,6,New Zealand
I Miss You,Tu me manques,0,"Drama, Romance",es,"English, Spanish",,"Following his son Gabriel’s death, Jorge travels from conservative Bolivia to New York City to confront Gabriel’s boyfriend Sebastian. While the two battle over Jorge’s inability to accept his son, Sebastian channels his grief into a bold new play in honor of his lost love, in which Gabriel’s inner turmoil is transformed into an eye-popping gay fantasia.",5.368,110,0,2019-07-27,6.9,23,"Bolivia, United States of America"
Monday,Monday,0,"Drama, Romance",en,"English, Greek",https://www.monday.movie,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",14.841,116,0,2020-09-11,6.6,160,"Greece, United Kingdom, United States of America"
